0.5,100,10,104373.18092885929
0.5,100,50,66956.82805651908
0.5,100,100,59492.853011104446
0.5,100,500,42316.27110919372
0.5,100,1000,40860.207168841865
0.5,100,2000,37396.1763881259
0.5,100,5000,36917.75886575866
0.5,200,10,106086.61399879797
0.5,200,50,77836.11231815346
0.5,200,100,60036.14595437386
0.5,200,500,42835.01835491423
0.5,200,1000,38956.153706837926
0.5,200,2000,36953.315640466186
0.5,200,5000,35770.779389134375
0.5,300,10,95593.73313660797
0.5,300,50,70184.56778682645
0.5,300,100,56280.290323135196
0.5,300,500,37982.074164901314
0.5,300,1000,37303.38190418779
0.5,300,2000,37325.59804869901
0.5,300,5000,36374.052363223134
0.5,400,10,89839.89131434142
0.5,400,50,58251.70322420063
0.5,400,100,57450.080004441406
0.5,400,500,42909.78938265846
0.5,400,1000,39048.761884246676
0.5,400,2000,36796.57507450064
0.5,400,5000,34574.49183133328
0.5,500,10,110234.15652710463
0.5,500,50,60125.388678212854
0.5,500,100,54153.07725523601
0.5,500,500,42931.64617172549
0.5,500,1000,38557.21419838329
0.5,500,2000,36310.47847599208
0.5,500,5000,34824.01893900776
0.5,600,10,106505.77289250513
0.5,600,50,62377.9920794166
0.5,600,100,50500.02235562717
0.5,600,500,40613.841601231295
0.5,600,1000,39392.08601079256
0.5,600,2000,37807.13789451883
0.5,600,5000,34729.40023767394
0.5,700,10,85906.73690815338
0.5,700,50,64387.19260569015
0.5,700,100,52854.585363651684
0.5,700,500,41508.40819344616
0.5,700,1000,41468.62913563432
0.5,700,2000,39314.05539151736
0.5,700,5000,34104.04648049078
0.6,100,10,90972.92643761566
0.6,100,50,61773.18225684451
0.6,100,100,52300.39457999421
0.6,100,500,41191.94219547954
0.6,100,1000,40478.334211556015
0.6,100,2000,36845.05266401759
0.6,100,5000,34733.50613969852
0.6,200,10,97159.32392941904
0.6,200,50,62998.9616899725
0.6,200,100,53634.053901152925
0.6,200,500,41790.96878301479
0.6,200,1000,38375.632769669704
0.6,200,2000,36366.07425867353
0.6,200,5000,35272.325094047126
0.6,300,10,93144.84835472342
0.6,300,50,58789.879237602
0.6,300,100,55522.981389074055
0.6,300,500,40904.84671669558
0.6,300,1000,38922.51550878081
0.6,300,2000,36319.30513098132
0.6,300,5000,35345.357364144824
0.6,400,10,94981.46708018945
0.6,400,50,66555.87973366342
0.6,400,100,51271.365931496475
0.6,400,500,42770.03733505768
0.6,400,1000,37705.78119192379
0.6,400,2000,35772.05777463434
0.6,400,5000,35201.17832310839
0.6,500,10,92384.34881851873
0.6,500,50,57500.164538899066
0.6,500,100,50696.328361628926
0.6,500,500,41242.82845685576
0.6,500,1000,37514.622719662635
0.6,500,2000,34930.28629398452
0.6,500,5000,34568.4980860719
0.6,600,10,90445.19242156942
0.6,600,50,63816.76632613782
0.6,600,100,49563.06081572284
0.6,600,500,38882.98179025937
0.6,600,1000,37661.08529810117
0.6,600,2000,36842.757982738476
0.6,600,5000,34697.485544346
0.6,700,10,95273.99830443446
0.6,700,50,65062.304493059724
0.6,700,100,52638.055926933564
0.6,700,500,40103.52900366666
0.6,700,1000,37777.119116184775
0.6,700,2000,36124.30529285497
0.6,700,5000,35515.44765943909
0.7,100,10,89385.97541379972
0.7,100,50,65463.44837340745
0.7,100,100,52666.522134395855
0.7,100,500,40137.9945355838
0.7,100,1000,36633.49017415181
0.7,100,2000,37529.71779548949
0.7,100,5000,36702.64918655738
0.7,200,10,76766.93659957641
0.7,200,50,59279.56632763708
0.7,200,100,47315.550304144985
0.7,200,500,41171.392429296124
0.7,200,1000,38329.99634800549
0.7,200,2000,35800.73850504942
0.7,200,5000,36047.17085889953
0.7,300,10,75822.99224879629
0.7,300,50,59806.658724677596
0.7,300,100,48792.33101894762
0.7,300,500,37900.11178591268
0.7,300,1000,35276.211035898596
0.7,300,2000,35747.781617108696
0.7,300,5000,35971.00867209583
0.7,400,10,87037.23253934817
0.7,400,50,58125.363788233066
0.7,400,100,48330.922527367606
0.7,400,500,38057.46788702001
0.7,400,1000,36480.55290960783
0.7,400,2000,34853.36843008001
0.7,400,5000,35545.55404823253
0.7,500,10,84209.94355517127
0.7,500,50,57958.528807635
0.7,500,100,49371.2228895997
